"UKPRN","Institution","Subject","Level","Mode","Continuing at institution","Gained intended award or higher","Gained other award at a lower level","Left without award","Dormant","Two years aggregate data?"
10000794,"BOLTON COLLEGE","(L3.108) Initial Teacher Training","Postgraduate","Part-time",50%,20%,15%,10%,5%,
10000812,"BOSTON COLLEGE","(L3.11) Others in Subjects allied to Medicine","Other undergraduate","Part-time",100%,0%,0%,0%,0%,
10000812,"BOSTON COLLEGE","(L3.58) Social Work","Other undergraduate","Part-time",35%,0%,0%,60%,5%,
10000812,"BOSTON COLLEGE","(L3.106) Others in Education","Other undergraduate","Part-time",65%,15%,0%,20%,0%,
10000812,"BOSTON COLLEGE","(L3.108) Initial Teacher Training","Other undergraduate","Part-time",60%,20%,0%,10%,10%,
10000820,"THE BOURNEMOUTH AND POOLE COLLEGE","(L3.11) Others in Subjects allied to Medicine","Other undergraduate","Part-time",85%,0%,0%,15%,0%,
10000820,"THE BOURNEMOUTH AND POOLE COLLEGE","(L3.35) Computer Science","Other undergraduate","Full-time",70%,0%,5%,25%,0%,
10000820,"THE BOURNEMOUTH AND POOLE COLLEGE","(L3.48) Building","Other undergraduate","Part-time",75%,10%,0%,15%,0%,
10000820,"THE BOURNEMOUTH AND POOLE COLLEGE","(L3.61) Business studies","Other undergraduate","Full-time",73%,2%,0%,25%,0%,
10000820,"THE BOURNEMOUTH AND POOLE COLLEGE","(L3.67) Tourism, Transport and Travel","Other undergraduate","Full-time",77%,0%,2%,21%,0%,
10000820,"THE BOURNEMOUTH AND POOLE COLLEGE","(L3.96) Design studies","Other undergraduate","Full-time",69%,0%,1%,30%,0%,
10000820,"THE BOURNEMOUTH AND POOLE COLLEGE","(L3.97) Music","Other undergraduate","Full-time",85%,0%,0%,10%,0%,
10000820,"THE BOURNEMOUTH AND POOLE COLLEGE","(L3.98) Drama","Other undergraduate","Full-time",90%,5%,0%,10%,0%,
10000824,"BOURNEMOUTH UNIVERSITY","(L3.03) Anatomy, Physiology and Pathology","First degree","Full-time",90%,0%,0%,5%,5%,
10000824,"BOURNEMOUTH UNIVERSITY","(L3.05) Nursing","First degree","Full-time",80%,0%,0%,17%,2%,
10000824,"BOURNEMOUTH UNIVERSITY","(L3.05) Nursing","First degree","Part-time",53%,4%,9%,5%,28%,
10000824,"BOURNEMOUTH UNIVERSITY","(L3.05) Nursing","Other undergraduate","Full-time",86%,0%,0%,13%,1%,
10000824,"BOURNEMOUTH UNIVERSITY","(L3.05) Nursing","Other undergraduate","Part-time",30%,16%,0%,2%,53%,
10000824,"BOURNEMOUTH UNIVERSITY","(L3.05) Nursing","Postgraduate","Part-time",65%,35%,0%,0%,0%,
10000824,"BOURNEMOUTH UNIVERSITY","(L3.06) Complementary Medicine","First degree","Full-time",91%,6%,0%,1%,1%,
10000824,"BOURNEMOUTH UNIVERSITY","(L3.06) Complementary Medicine","Postgraduate","Part-time",41%,2%,2%,52%,2%,
10000824,"BOURNEMOUTH UNIVERSITY","(L3.07) Nutrition","First degree","Full-time",80%,0%,0%,10%,10%,
10000824,"BOURNEMOUTH UNIVERSITY","(L3.11) Others in Subjects allied to Medicine","First degree","Full-time",85%,0%,5%,15%,0%,
10000824,"BOURNEMOUTH UNIVERSITY","(L3.11) Others in Subjects allied to Medicine","Other undergraduate","Full-time",50%,0%,0%,50%,0%,
10000824,"BOURNEMOUTH UNIVERSITY","(L3.12) Biology","First degree","Full-time",65%,0%,5%,30%,5%,
10000824,"BOURNEMOUTH UNIVERSITY","(L3.18) Sports Science","First degree","Full-time",83%,5%,2%,10%,0%,
10000824,"BOURNEMOUTH UNIVERSITY","(L3.19) Psychology","First degree","Full-time",83%,0%,0%,16%,1%,
10000824,"BOURNEMOUTH UNIVERSITY","(L3.27) Forensic and Archaeological Science","First degree","Full-time",88%,0%,0%,11%,1%,
10000824,"BOURNEMOUTH UNIVERSITY","(L3.35) Computer Science","First degree","Full-time",76%,5%,0%,18%,0%,
10000824,"BOURNEMOUTH UNIVERSITY","(L3.36) General Engineering","First degree","Full-time",95%,0%,0%,5%,0%,
10000824,"BOURNEMOUTH UNIVERSITY","(L3.58) Social Work","First degree","Full-time",77%,14%,0%,8%,0%,
10000824,"BOURNEMOUTH UNIVERSITY","(L3.58) Social Work","First degree","Part-time",85%,5%,0%,8%,2%,
10000824,"BOURNEMOUTH UNIVERSITY","(L3.58) Social Work","Other undergraduate","Part-time",44%,48%,1%,6%,2%,
10000824,"BOURNEMOUTH UNIVERSITY","(L3.59) Human and Social Geography","First degree","Full-time",75%,0%,0%,25%,0%,
10000824,"BOURNEMOUTH UNIVERSITY","(L3.60) Law","First degree","Full-time",82%,0%,0%,18%,1%,
10000824,"BOURNEMOUTH UNIVERSITY","(L3.61) Business studies","First degree","Full-time",66%,24%,0%,9%,1%,
10000824,"BOURNEMOUTH UNIVERSITY","(L3.61) Business studies","First degree","Part-time",85%,0%,0%,10%,5%,
10000824,"BOURNEMOUTH UNIVERSITY","(L3.61) Business studies","Other undergraduate","Part-time",45%,5%,0%,35%,15%,
10000824,"BOURNEMOUTH UNIVERSITY","(L3.61) Business studies","Postgraduate","Full-time",96%,1%,2%,1%,0%,
10000824,"BOURNEMOUTH UNIVERSITY","(L3.62) Marketing","First degree","Full-time",77%,2%,1%,17%,3%,
10000824,"BOURNEMOUTH UNIVERSITY","(L3.62) Marketing","Postgraduate","Full-time",10%,85%,0%,0%,5%,
10000824,"BOURNEMOUTH UNIVERSITY","(L3.63) Management studies","First degree","Full-time",80%,0%,0%,20%,0%,
10000824,"BOURNEMOUTH UNIVERSITY","(L3.63) Management studies","Postgraduate","Part-time",10%,85%,5%,5%,0%,
10000824,"BOURNEMOUTH UNIVERSITY","(L3.64) Human Resource Management","Postgraduate","Full-time",90%,0%,0%,10%,0%,
10000824,"BOURNEMOUTH UNIVERSITY","(L3.64) Human Resource Management","Postgraduate","Part-time",55%,20%,5%,20%,0%,
10000824,"BOURNEMOUTH UNIVERSITY","(L3.65) Finance","First degree","Full-time",64%,26%,0%,10%,0%,
10000824,"BOURNEMOUTH UNIVERSITY","(L3.65) Finance","Postgraduate","Full-time",89%,0%,0%,11%,0%,
10000824,"BOURNEMOUTH UNIVERSITY","(L3.66) Accounting","First degree","Full-time",86%,1%,0%,12%,1%,
10000824,"BOURNEMOUTH UNIVERSITY","(L3.67) Tourism, Transport and Travel","First degree","Full-time",76%,8%,0%,13%,2%,
10000824,"BOURNEMOUTH UNIVERSITY","(L3.67) Tourism, Transport and Travel","Postgraduate","Full-time",83%,11%,0%,2%,4%,
10000824,"BOURNEMOUTH UNIVERSITY","(L3.69) Media studies","First degree","Full-time",90%,0%,0%,10%,1%,
10000824,"BOURNEMOUTH UNIVERSITY","(L3.69) Media studies","Postgraduate","Full-time",9%,90%,0%,1%,0%,
10000824,"BOURNEMOUTH UNIVERSITY","(L3.69) Media studies","Postgraduate","Part-time",80%,5%,0%,10%,5%,
10000824,"BOURNEMOUTH UNIVERSITY","(L3.71) Publicity studies","First degree","Full-time",92%,0%,0%,8%,0%,
10000824,"BOURNEMOUTH UNIVERSITY","(L3.73) Journalism","First degree","Full-time",86%,0%,1%,10%,3%,
10000824,"BOURNEMOUTH UNIVERSITY","(L3.91) Archaeology","First degree","Full-time",77%,4%,1%,17%,0%,
10000824,"BOURNEMOUTH UNIVERSITY","(L3.96) Design studies","First degree","Full-time",83%,0%,0%,17%,1%,
10000824,"BOURNEMOUTH UNIVERSITY","(L3.97) Music","First degree","Full-time",35%,40%,0%,30%,0%,
10000824,"BOURNEMOUTH UNIVERSITY","(L3.100) Cinematics and Photography","Postgraduate","Full-time",5%,90%,0%,0%,0%,
10000824,"BOURNEMOUTH UNIVERSITY","(L3.101) Imaginative Writing","First degree","Full-time",85%,0%,0%,10%,5%,
10000825,"BOURNVILLE COLLEGE OF FURTHER EDUCATION","(L3.63) Management studies","Other undergraduate","Part-time",5%,85%,0%,10%,0%,
10000833,"BRACKNELL AND WOKINGHAM COLLEGE","(L3.108) Initial Teacher Training","Other undergraduate","Part-time",60%,21%,0%,13%,6%,
10000840,"BRADFORD COLLEGE","(L3.11) Others in Subjects allied to Medicine","First degree","Full-time",70%,5%,0%,30%,0%,
10000840,"BRADFORD COLLEGE","(L3.11) Others in Subjects allied to Medicine","Other undergraduate","Full-time",40%,35%,0%,25%,0%,
10000840,"BRADFORD COLLEGE","(L3.35) Computer Science","First degree","Full-time",0%,50%,0%,50%,0%,
10000840,"BRADFORD COLLEGE","(L3.35) Computer Science","Other undergraduate","Full-time",30%,2%,7%,62%,0%,
10000840,"BRADFORD COLLEGE","(L3.37) Mechanical, Production and Manufacturing Engineering","Other undergraduate","Part-time",75%,5%,0%,20%,0%,
10000840,"BRADFORD COLLEGE","(L3.41) Civil Engineering","Other undergraduate","Part-time",15%,0%,0%,85%,0%,
10000840,"BRADFORD COLLEGE","(L3.44) Materials and Minerals Technology","Other undergraduate","Part-time",35%,0%,0%,65%,0%,
10000840,"BRADFORD COLLEGE","(L3.48) Building","Other undergraduate","Part-time",65%,20%,0%,10%,0%,
10000840,"BRADFORD COLLEGE","(L3.53) Politics","Other undergraduate","Full-time",0%,0%,0%,100%,0%,
10000840,"BRADFORD COLLEGE","(L3.54) Sociology","First degree","Full-time",60%,5%,0%,40%,0%,
10000840,"BRADFORD COLLEGE","(L3.58) Social Work","First degree","Full-time",85%,0%,0%,15%,0%,
10000840,"BRADFORD COLLEGE","(L3.58) Social Work","Other undergraduate","Full-time",75%,0%,0%,15%,10%,
10000840,"BRADFORD COLLEGE","(L3.60) Law","First degree","Full-time",59%,3%,0%,39%,0%,
10000840,"BRADFORD COLLEGE","(L3.60) Law","First degree","Part-time",50%,0%,0%,50%,0%,
10000840,"BRADFORD COLLEGE","(L3.61) Business studies","First degree","Full-time",37%,22%,0%,41%,0%,
10000840,"BRADFORD COLLEGE","(L3.61) Business studies","First degree","Part-time",10%,0%,0%,90%,0%,
10000840,"BRADFORD COLLEGE","(L3.61) Business studies","Other undergraduate","Full-time",33%,5%,0%,62%,0%,
10000840,"BRADFORD COLLEGE","(L3.61) Business studies","Postgraduate","Full-time",22%,10%,0%,68%,0%,
10000840,"BRADFORD COLLEGE","(L3.95) Fine Art","First degree","Full-time",57%,13%,0%,30%,0%,
10000840,"BRADFORD COLLEGE","(L3.95) Fine Art","Other undergraduate","Full-time",65%,0%,0%,35%,0%,
10000840,"BRADFORD COLLEGE","(L3.95) Fine Art","Postgraduate","Part-time",0%,5%,0%,95%,0%,
10000840,"BRADFORD COLLEGE","(L3.96) Design studies","First degree","Full-time",22%,0%,0%,78%,0%,
10000840,"BRADFORD COLLEGE","(L3.100) Cinematics and Photography","First degree","Full-time",0%,90%,0%,10%,0%,
10000840,"BRADFORD COLLEGE","(L3.100) Cinematics and Photography","Other undergraduate","Full-time",75%,0%,0%,25%,0%,
10000840,"BRADFORD COLLEGE","(L3.105) Academic studies in Education","First degree","Full-time",42%,30%,0%,28%,0%,
10000840,"BRADFORD COLLEGE","(L3.105) Academic studies in Education","Other undergraduate","Full-time",48%,26%,0%,26%,0%,
10000840,"BRADFORD COLLEGE","(L3.106) Others in Education","Other undergraduate","Part-time",80%,0%,0%,20%,0%,
10000840,"BRADFORD COLLEGE","(L3.106) Others in Education","Postgraduate","Part-time",65%,5%,0%,25%,0%,
10000840,"BRADFORD COLLEGE","(L3.108) Initial Teacher Training","First degree","Full-time",60%,1%,0%,39%,0%,
10000840,"BRADFORD COLLEGE","(L3.108) Initial Teacher Training","First degree","Part-time",0%,0%,0%,100%,0%,
10000878,"BRIDGWATER COLLEGE","(L3.24) Agriculture and others in Veterinary Sciences, Agriculture and related subjects","Other undergraduate","Full-time",60%,10%,5%,25%,0%,
10000878,"BRIDGWATER COLLEGE","(L3.35) Computer Science","Other undergraduate","Full-time",70%,0%,0%,30%,0%,
10000886,"UNIVERSITY OF BRIGHTON","(L3.01) Medicine","Postgraduate","Part-time",38%,1%,0%,3%,58%,
10000886,"UNIVERSITY OF BRIGHTON","(L3.03) Anatomy, Physiology and Pathology","First degree","Full-time",96%,0%,0%,3%,1%,
10000886,"UNIVERSITY OF BRIGHTON","(L3.03) Anatomy, Physiology and Pathology","Postgraduate","Full-time",90%,0%,0%,5%,5%,
10000886,"UNIVERSITY OF BRIGHTON","(L3.04) Pharmacology, Toxicology and Pharmacy","First degree","Full-time",95%,2%,1%,2%,0%,
10000886,"UNIVERSITY OF BRIGHTON","(L3.04) Pharmacology, Toxicology and Pharmacy","Postgraduate","Full-time",5%,95%,0%,0%,0%,
10000886,"UNIVERSITY OF BRIGHTON","(L3.04) Pharmacology, Toxicology and Pharmacy","Postgraduate","Part-time",35%,40%,0%,15%,15%,
10000886,"UNIVERSITY OF BRIGHTON","(L3.05) Nursing","First degree","Full-time",57%,27%,0%,12%,4%,
10000886,"UNIVERSITY OF BRIGHTON","(L3.05) Nursing","First degree","Part-time",65%,5%,0%,5%,25%,
10000886,"UNIVERSITY OF BRIGHTON","(L3.05) Nursing","Other undergraduate","Full-time",82%,0%,0%,15%,3%,
10000886,"UNIVERSITY OF BRIGHTON","(L3.05) Nursing","Other undergraduate","Part-time",22%,0%,0%,0%,77%,
10000886,"UNIVERSITY OF BRIGHTON","(L3.05) Nursing","Postgraduate","Part-time",76%,1%,1%,2%,19%,
10000886,"UNIVERSITY OF BRIGHTON","(L3.06) Complementary Medicine","First degree","Full-time",85%,0%,5%,15%,0%,
10000886,"UNIVERSITY OF BRIGHTON","(L3.11) Others in Subjects allied to Medicine","First degree","Part-time",70%,0%,0%,15%,15%,
10000886,"UNIVERSITY OF BRIGHTON","(L3.11) Others in Subjects allied to Medicine","Postgraduate","Full-time",89%,4%,0%,4%,4%,
10000886,"UNIVERSITY OF BRIGHTON","(L3.11) Others in Subjects allied to Medicine","Postgraduate","Part-time",54%,4%,0%,3%,39%,
10000886,"UNIVERSITY OF BRIGHTON","(L3.12) Biology","First degree","Full-time",57%,20%,0%,14%,9%,
10000886,"UNIVERSITY OF BRIGHTON","(L3.18) Sports Science","First degree","Full-time",83%,4%,1%,7%,5%,
10000886,"UNIVERSITY OF BRIGHTON","(L3.19) Psychology","First degree","Full-time",86%,0%,0%,10%,4%,
10000886,"UNIVERSITY OF BRIGHTON","(L3.19) Psychology","Postgraduate","Part-time",70%,0%,0%,15%,20%,
10000886,"UNIVERSITY OF BRIGHTON","(L3.25) Chemistry","First degree","Full-time",75%,1%,0%,16%,8%,
10000886,"UNIVERSITY OF BRIGHTON","(L3.31) Physical Geography and Environmental Science","First degree","Full-time",88%,0%,1%,6%,5%,
10000886,"UNIVERSITY OF BRIGHTON","(L3.31) Physical Geography and Environmental Science","Postgraduate","Full-time",15%,75%,0%,0%,10%,
10000886,"UNIVERSITY OF BRIGHTON","(L3.31) Physical Geography and Environmental Science","Postgraduate","Part-time",13%,79%,0%,0%,8%,
10000886,"UNIVERSITY OF BRIGHTON","(L3.32) Mathematics and Statistics","First degree","Full-time",80%,0%,0%,10%,10%,
10000886,"UNIVERSITY OF BRIGHTON","(L3.35) Computer Science","First degree","Full-time",70%,8%,2%,13%,8%,
10000886,"UNIVERSITY OF BRIGHTON","(L3.35) Computer Science","Other undergraduate","Full-time",55%,0%,5%,30%,15%,
10000886,"UNIVERSITY OF BRIGHTON","(L3.37) Mechanical, Production and Manufacturing Engineering","First degree","Full-time",45%,4%,0%,25%,25%,
10000886,"UNIVERSITY OF BRIGHTON","(L3.37) Mechanical, Production and Manufacturing Engineering","Postgraduate","Full-time",50%,35%,5%,5%,5%,
10000886,"UNIVERSITY OF BRIGHTON","(L3.40) Electronic and Electrical Engineering","First degree","Full-time",55%,0%,0%,15%,25%,
10000886,"UNIVERSITY OF BRIGHTON","(L3.41) Civil Engineering","First degree","Full-time",80%,5%,0%,5%,15%,
10000886,"UNIVERSITY OF BRIGHTON","(L3.47) Architecture","First degree","Full-time",81%,1%,0%,10%,8%,
10000886,"UNIVERSITY OF BRIGHTON","(L3.47) Architecture","Postgraduate","Part-time",85%,5%,0%,0%,5%,
10000886,"UNIVERSITY OF BRIGHTON","(L3.48) Building","First degree","Full-time",88%,0%,0%,7%,4%,
10000886,"UNIVERSITY OF BRIGHTON","(L3.48) Building","Other undergraduate","Full-time",75%,0%,0%,20%,5%,
10000886,"UNIVERSITY OF BRIGHTON","(L3.54) Sociology","First degree","Full-time",85%,0%,0%,11%,4%,
10000886,"UNIVERSITY OF BRIGHTON","(L3.55) Social Policy","First degree","Full-time",84%,0%,0%,9%,7%,
10000886,"UNIVERSITY OF BRIGHTON","(L3.55) Social Policy","Other undergraduate","Full-time",3%,88%,0%,5%,3%,
10000886,"UNIVERSITY OF BRIGHTON","(L3.55) Social Policy","Other undergraduate","Part-time",9%,2%,0%,7%,81%,
10000886,"UNIVERSITY OF BRIGHTON","(L3.55) Social Policy","Postgraduate","Part-time",75%,5%,0%,10%,15%,
10000886,"UNIVERSITY OF BRIGHTON","(L3.58) Social Work","Other undergraduate","Part-time",80%,5%,0%,5%,10%,
10000886,"UNIVERSITY OF BRIGHTON","(L3.58) Social Work","Postgraduate","Full-time",90%,0%,0%,5%,5%,
10000886,"UNIVERSITY OF BRIGHTON","(L3.58) Social Work","Postgraduate","Part-time",55%,10%,5%,10%,25%,
10000886,"UNIVERSITY OF BRIGHTON","(L3.60) Law","First degree","Full-time",84%,1%,2%,8%,5%,
10000886,"UNIVERSITY OF BRIGHTON","(L3.61) Business studies","First degree","Full-time",74%,5%,1%,16%,5%,
10000886,"UNIVERSITY OF BRIGHTON","(L3.61) Business studies","Other undergraduate","Full-time",75%,0%,0%,15%,10%,
10000886,"UNIVERSITY OF BRIGHTON","(L3.61) Business studies","Postgraduate","Full-time",80%,2%,4%,7%,7%,
10000886,"UNIVERSITY OF BRIGHTON","(L3.61) Business studies","Postgraduate","Part-time",60%,0%,0%,5%,30%,
10000886,"UNIVERSITY OF BRIGHTON","(L3.62) Marketing","First degree","Full-time",83%,0%,1%,10%,7%,
10000886,"UNIVERSITY OF BRIGHTON","(L3.62) Marketing","Other undergraduate","Full-time",85%,0%,0%,10%,5%,
10000886,"UNIVERSITY OF BRIGHTON","(L3.63) Management studies","Postgraduate","Part-time",80%,0%,0%,0%,20%,
10000886,"UNIVERSITY OF BRIGHTON","(L3.64) Human Resource Management","Postgraduate","Part-time",90%,0%,0%,0%,10%,
10000886,"UNIVERSITY OF BRIGHTON","(L3.65) Finance","First degree","Full-time",70%,0%,5%,20%,5%,
10000886,"UNIVERSITY OF BRIGHTON","(L3.66) Accounting","First degree","Full-time",76%,0%,0%,19%,6%,
10000886,"UNIVERSITY OF BRIGHTON","(L3.67) Tourism, Transport and Travel","First degree","Full-time",51%,38%,1%,7%,4%,
10000886,"UNIVERSITY OF BRIGHTON","(L3.67) Tourism, Transport and Travel","Other undergraduate","Full-time",71%,3%,0%,21%,4%,
10000886,"UNIVERSITY OF BRIGHTON","(L3.69) Media studies","First degree","Full-time",79%,1%,0%,11%,9%,
10000886,"UNIVERSITY OF BRIGHTON","(L3.69) Media studies","Other undergraduate","Full-time",80%,0%,5%,20%,0%,
10000886,"UNIVERSITY OF BRIGHTON","(L3.70) Information Services","First degree","Full-time",85%,0%,0%,10%,10%,
10000886,"UNIVERSITY OF BRIGHTON","(L3.73) Journalism","First degree","Full-time",80%,0%,0%,15%,0%,
10000886,"UNIVERSITY OF BRIGHTON","(L3.75) English studies","First degree","Full-time",82%,0%,1%,10%,7%,
10000886,"UNIVERSITY OF BRIGHTON","(L3.79) French studies","Other undergraduate","Part-time",9%,22%,0%,45%,24%,
10000886,"UNIVERSITY OF BRIGHTON","(L3.80) German and Scandinavian studies","Other undergraduate","Part-time",25%,20%,0%,30%,25%,
10000886,"UNIVERSITY OF BRIGHTON","(L3.82) Iberian studies","Other undergraduate","Part-time",13%,28%,0%,49%,11%,
10000886,"UNIVERSITY OF BRIGHTON","(L3.90) History","First degree","Full-time",77%,0%,0%,19%,4%,
10000886,"UNIVERSITY OF BRIGHTON","(L3.92) Others in Historical and Philosophical studies","First degree","Full-time",85%,0%,0%,10%,5%,
10000886,"UNIVERSITY OF BRIGHTON","(L3.93) Philosophy","First degree","Full-time",85%,0%,0%,10%,5%,
10000886,"UNIVERSITY OF BRIGHTON","(L3.95) Fine Art","First degree","Full-time",89%,0%,0%,3%,8%,
10000886,"UNIVERSITY OF BRIGHTON","(L3.95) Fine Art","Other undergraduate","Part-time",4%,0%,0%,2%,94%,
10000886,"UNIVERSITY OF BRIGHTON","(L3.95) Fine Art","Postgraduate","Part-time",60%,5%,0%,15%,20%,
10000886,"UNIVERSITY OF BRIGHTON","(L3.96) Design studies","First degree","Full-time",89%,0%,0%,4%,7%,
10000886,"UNIVERSITY OF BRIGHTON","(L3.96) Design studies","Postgraduate","Full-time",60%,25%,0%,0%,10%,
10000886,"UNIVERSITY OF BRIGHTON","(L3.97) Music","First degree","Full-time",90%,0%,0%,5%,5%,
10000886,"UNIVERSITY OF BRIGHTON","(L3.100) Cinematics and Photography","First degree","Full-time",83%,1%,0%,11%,5%,
10000886,"UNIVERSITY OF BRIGHTON","(L3.104) Research and Study Skills in Education","Postgraduate","Part-time",25%,5%,0%,5%,70%,
10000886,"UNIVERSITY OF BRIGHTON","(L3.105) Academic studies in Education","First degree","Full-time",75%,0%,10%,15%,5%,
10000886,"UNIVERSITY OF BRIGHTON","(L3.105) Academic studies in Education","First degree","Part-time",54%,36%,1%,4%,4%,
10000886,"UNIVERSITY OF BRIGHTON","(L3.105) Academic studies in Education","Other undergraduate","Part-time",53%,35%,0%,5%,6%,
10000886,"UNIVERSITY OF BRIGHTON","(L3.105) Academic studies in Education","Postgraduate","Part-time",51%,29%,0%,4%,16%,
10000886,"UNIVERSITY OF BRIGHTON","(L3.106) Others in Education","First degree","Full-time",80%,0%,0%,15%,0%,
10000886,"UNIVERSITY OF BRIGHTON","(L3.108) Initial Teacher Training","First degree","Full-time",85%,1%,2%,9%,4%,
10000886,"UNIVERSITY OF BRIGHTON","(L3.108) Initial Teacher Training","Other undergraduate","Part-time",52%,28%,1%,12%,7%,
10000886,"UNIVERSITY OF BRIGHTON","(L3.108) Initial Teacher Training","Postgraduate","Full-time",8%,79%,0%,10%,2%,
10000886,"UNIVERSITY OF BRIGHTON","(L3.108) Initial Teacher Training","Postgraduate","Part-time",31%,59%,0%,6%,3%,
10000944,"BROCKENHURST COLLEGE","(L3.108) Initial Teacher Training","Other undergraduate","Part-time",35%,60%,0%,0%,5%,
10000944,"BROCKENHURST COLLEGE","(L3.108) Initial Teacher Training","Postgraduate","Part-time",10%,90%,0%,0%,0%,
10000948,"BROMLEY COLLEGE OF FURTHER AND HIGHER EDUCATION","(L3.48) Building","Other undergraduate","Part-time",85%,0%,5%,5%,10%,
10000948,"BROMLEY COLLEGE OF FURTHER AND HIGHER EDUCATION","(L3.58) Social Work","Other undergraduate","Part-time",85%,0%,0%,5%,10%,
10000948,"BROMLEY COLLEGE OF FURTHER AND HIGHER EDUCATION","(L3.104) Research and Study Skills in Education","Other undergraduate","Part-time",0%,95%,0%,5%,0%,
10000948,"BROMLEY COLLEGE OF FURTHER AND HIGHER EDUCATION","(L3.105) Academic studies in Education","Other undergraduate","Part-time",75%,10%,0%,5%,15%,
10000948,"BROMLEY COLLEGE OF FURTHER AND HIGHER EDUCATION","(L3.108) Initial Teacher Training","Other undergraduate","Part-time",80%,5%,0%,5%,15%,
10000950,"BROOKLANDS COLLEGE","(L3.37) Mechanical, Production and Manufacturing Engineering","Other undergraduate","Full-time",85%,0%,0%,10%,5%,
